TLD,Server,Exclude
airtel,whois.nic.airtel,0
android,domain-registry-whois.l.google.com,0
bauhaus,whois.nic.bauhaus,0
bcn,whois.nic.bcn,0
bharti,whois.nic.bharti,0
bnl,whois.afilias-srs.net,0
bom,whois.gtlds.nic.br,0
bond,whois.nic.bond,0
boots,whois.nic.boots,0
budapest,whois-dub.mm-registry.com,0
cal,domain-registry-whois.l.google.com,0
caravan,whois.nic.caravan,0
cartier,whois.nic.cartier,0
cbn,whois.nic.cbn,0
ceb,whois.afilias-srs.net,0
chloe,whois.nic.chloe,0
chrome,domain-registry-whois.l.google.com,0
commbank,whois.nic.commbank,0
cuisinella,whois.nic.cuisinella,0
cyou,whois.afilias-srs.net,0
datsun,whois.nic.gmo,0
dclk,domain-registry-whois.l.google.com,0
delta,whois.afilias-srs.net,0
dev,domain-registry-whois.l.google.com,0
docs,domain-registry-whois.l.google.com,0
doha,whois.nic.doha,0
drive,whois.nic.google,0
epson,whois.aridnrs.net.au,0
final,whois.gtlds.nic.br,0
flsmidth,whois.ksregistry.net,0
gea,whois.afilias-srs.net,0
ggee,whois.nic.ggee,0
giving,whois.nic.giving,0
gle,domain-registry-whois.l.google.com,0
gmx,whois-fe1.gmx.tango.knipp.de,0
goldpoint,whois.nic.goldpoint,0
guge,domain-registry-whois.l.google.com,0
hangout,domain-registry-whois.l.google.com,0
homedepot,whois.afilias-srs.net,0
honda,whois.nic.honda,0
hsbc,whois.nic.hsbc,0
hyundai,whois.nic.hyundai,0
ibm,whois.nic.ibm,0
icbc,whois.afilias-srs.net,0
icu,whois.nic.icu,0
iinet,whois.aridnrs.net.au,0
infiniti,whois.nic.gmo,0
itau,whois.nic.itau,0
iwc,whois.nic.iwc,0
jlc,whois.nic.jlc,0
kddi,whois.nic.kddi,0
kia,whois.nic.kia,0
lacaixa,whois.nic.lacaixa,0
lasalle,whois.afilias-srs.net,0
lds,whois.afilias-srs.net,0
lixil,whois.nic.lixil,0
lotte,whois.nic.lotte,0
luxe,whois-dub.mm-registry.com,0
madrid,whois.madrid.rs.corenic.net,0
meet,whois.afilias.net,0
montblanc,whois.nic.montblanc,0
mormon,whois.afilias-srs.net,0
movistar,whois-fe.movistar.tango.knipp.de,0
mtpc,whois.nic.gmo,0
nexus,domain-registry-whois.l.google.com,0
nhk,whois.nic.nhk,0
nissan,whois.nic.gmo,0
office,whois.nic.office,0
panerai,whois.nic.panerai,0
piaget,whois.nic.piaget,0
play,whois.nic.google,0
pohl,whois.ksregistry.net,0
sakura,whois.nic.sakura,0
scholarships,whois.afilias-srs.net,0
scor,whois.nic.scor,0
seek,whois.nic.seek,0
starhub,whois.nic.starhub,0
stcgroup,whois.centralnic.com,0
stockholm,whois.afilias-srs.net,0
telefonica,whois-fe.telefonica.tango.knipp.de,0
temasek,whois.afilias-srs.net,0
thd,whois.afilias-srs.net,0
tui,whois.ksregistry.net,0
viva,whois.centralnic.com,0
wtc,whois.nic.wtc,0
कॉम,whois.nic.xn--11b4c3d,0
点看,whois.nic.xn--3pxu8k,0
คอม,whois.nic.xn--42c2d9a,0
公益,whois.conac.cn,0
时尚,whois.nic.wang,0
淡马锡,whois.afilias-srs.net,0
नेट,whois.nic.xn--c2br7g,0
商店,whois.donuts.co,0
工行,whois.afilias-srs.net,0
谷歌,domain-registry-whois.l.google.com,0
ком,whois.nic.xn--j1aef,0
组织机构,whois.publicinterestregistry.net,0
大拿,whois.nic.xn--pssy2u,0
グーグル,domain-registry-whois.l.google.com,0
vermögensberater,whois.ksregistry.net,0
vermögensberatung,whois.ksregistry.net,0
企业,whois.donuts.co,0
政务,whois.conac.cn,0
yodobashi,whois.nic.gmo,0
zuerich,whois.ksregistry.net,0
cipriani,whois.afilias-srs.net,0
virgin,whois.nic.virgin,0
yamaxun,whois.nic.yamaxun,0
vuelos,whois.nic.vuelos,0
mutuelle,whois-mutuelle.nic.fr,0
zara,whois.afilias-srs.net,0
gucci,whois.nic.gucci,0
meo,whois.nic.meo,0
ping,whois.nic.ping,0
sapo,whois.nic.sapo,0
apple,whois.afilias-srs.net,0
beats,whois.afilias-srs.net,0
fairwinds,whois.nic.fairwinds,0
playstation,whois.nic.playstation,0
comsec,whois.nic.comsec,0
cityeats,whois.nic.cityeats,0
creditunion,whois.afilias-srs.net,0
lifestyle,whois.nic.lifestyle,0
vana,whois.nic.vana,0
ford,whois.nic.ford,0
tab,whois.nic.tab,0
book,whois.nic.book,0
bot,whois.nic.bot,0
boehringer,whois.afilias-srs.net,0
bostik,whois-bostik.nic.fr,0
